imagename,image_url,score,500A,500B,1A,1B,3A,3B,10A,10B,gist_url
sci1148.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1148.png,1.57,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/42-sci1148.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/47-sci1148.png,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/15-sci1148.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/10-sci1148.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/30-sci1148.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio502.png
sci357.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci357.png,1.56,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/39-sci357.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/47-sci357.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/1-sci357.png,none,none,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio158.png
sci1050.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1050.png,1.56,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/39-sci1050.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/48-sci1050.png,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/18-sci1050.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/33-sci1050.png,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio445.png
sci1516.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1516.png,1.55,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/42-sci1516.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/45-sci1516.png,none,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/9-sci1516.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/30-sci1516.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio602.png
sci1924.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1924.png,1.55,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/40-sci1924.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/43-sci1924.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/3-sci1924.png,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/11-sci1924.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/26-sci1924.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio747.png
sci1182.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1182.png,1.53,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/41-sci1182.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/45-sci1182.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/3-sci1182.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/15-sci1182.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/8-sci1182.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/25-sci1182.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio505.png
sci351.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci351.png,1.48,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/38-sci351.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/46-sci351.png,none,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/8-sci351.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/30-sci351.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio152.png
sci511.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci511.png,1.47,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/40-sci511.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/46-sci511.png,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/16-sci511.png,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/25-sci511.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio248.png
sci573.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci573.png,1.44,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/42-sci573.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/43-sci573.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/1-sci573.png,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/9-sci573.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/27-sci573.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio260.png
sci930.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci930.png,1.42,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/42-sci930.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/46-sci930.png,none,none,none,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio394.png
sci971.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci971.png,1.41,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/42-sci971.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/46-sci971.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/3-sci971.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/15-sci971.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/9-sci971.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio410.png
sci1046.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1046.png,1.4,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/42-sci1046.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/44-sci1046.png,none,none,none,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio458.png
sci1280.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1280.png,1.4,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/38-sci1280.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/44-sci1280.png,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/33-sci1280.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/10-sci1280.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/30-sci1280.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio540.png
sci1724.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1724.png,1.37,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/37-sci1724.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/46-sci1724.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/6-sci1724.png,none,none,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio698.png
sci2238.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci2238.png,1.31,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/37-sci2238.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/48-sci2238.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/20-sci2238.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/17-sci2238.png,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/27-sci2238.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio829.png
sci1944.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1944.png,1.3,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/42-sci1944.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/47-sci1944.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/6-sci1944.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/15-sci1944.png,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/26-sci1944.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio755.png
