filename,imagename,imageID,url,isTarget,hit,miss,fa,cr,name,HR,FAR,imagename,score,group,index,count,responseCount,Feature congestion,Entropy,Number of edges,fileindex,0
2010 Khoury 10.1109/TVCG.2010.182 c 2.png,bio311.png,I809,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio311.png,1,44,14,27,215,I809,0.7586,0.1116,bio311.png,1.919869338,2,809,86,62,2.5973,4.8986,7.1598,63,63
2008 Joshi 10.1109/TVCG.2008.150 c 6.png,bio64.png,I758,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio64.png,1,36,18,16,209,I758,0.6667,0.0711,bio64.png,1.898466471,2,758,81,68,2.1467,5.873,8.5623,12,12
2011 Koehler 10.1109/TVCG.2011.260 c 19.png,bio449.png,I837,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio449.png,1,37,31,9,234,I837,0.5441,0.037,bio449.png,1.897381771,2,837,89,71,5.5348,3.9474,7.7236,91,91
2009 Jeong 10.1109/TVCG.2009.178 c 5.png,bio227.png,I786,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio227.png,1,24,43,3,237,I786,0.3582,0.0125,bio227.png,1.878128442,2,786,69,61,3.7166,5.2636,10.3181,40,40
2009 Chuang 10.1109/TVCG.2009.150 c 4.png,bio188.png,I779,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio188.png,1,36,34,8,236,I779,0.5143,0.0328,bio188.png,1.876999598,2,779,55,61,2.4187,4.9827,9.5804,33,33
2008 Krüger 10.1109/TVCG.2008.161 c 1.png,bio68.png,I760,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio68.png,1,27,34,5,225,I760,0.4426,0.0217,bio68.png,1.875459352,2,760,66,65,3.1213,7.1801,8.0856,14,14
2009 Jeong 10.1109/TVCG.2009.178 c 8.png,bio230.png,I789,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio230.png,1,38,28,11,225,I789,0.5758,0.0466,bio230.png,1.869914292,2,789,56,64,5.4961,5.1812,11.9021,43,43
2011 Sundén 10.1109/TVCG.2011.211 c 2.png,bio499.png,I845,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio499.png,1,49,21,20,202,I845,0.7,0.0901,bio499.png,1.864540001,2,845,50,66,2.2142,6.1366,7.322,99,99
2014 Choi 10.1109/TVCG.2014.2346322 c 3.png,bio664.png,I879,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio664.png,1,36,32,9,233,I879,0.5294,0.0372,bio664.png,1.85790736,2,879,52,76,4.022,5.3424,8.1555,133,133
2017 Bock 10.1109/TVCG.2017.2743980 c 7.png,bio822.png,I911,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio822.png,1,33,25,11,225,I911,0.569,0.0466,bio822.png,1.852582797,2,911,56,62,2.3358,3.9381,9.0385,165,165
2010 Tikhonova 10.1109/TVCG.2010.215a c 8.png,bio367.png,I821,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio367.png,1,29,31,7,212,I821,0.4833,0.032,bio367.png,1.810306934,2,821,40,61,4.02,7.1046,12.2465,75,75
2009 Everts 10.1109/TVCG.2009.138 c 14.png,bio216.png,I784,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio216.png,1,49,23,22,220,I784,0.6806,0.0909,bio216.png,1.804610563,2,784,52,69,11.0272,6.224,22.3622,38,38
2017 Klein 10.1109/TVCG.2017.2744258 c 3.png,bio841.png,I915,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio841.png,1,41,17,25,212,I915,0.7069,0.1055,bio841.png,1.795171367,2,915,42,66,7.6057,6.466,15.4137,169,169
2013 Ehlke 10.1109/TVCG.2013.159 c 1.png,bio569.png,I860,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio569.png,1,35,32,10,229,I860,0.5224,0.0418,bio569.png,1.786347486,2,860,41,76,4.6611,4.8993,11.0092,114,114
2010 Lindholm 10.1109/TVCG.2010.195 c 2.png,bio322.png,I812,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio322.png,1,30,39,6,225,I812,0.4348,0.026,bio322.png,1.778967159,2,812,34,64,6.6374,6.3709,11.2727,66,66
2008 Zhou 10.1109/TVCG.2008.176 c 1.png,bio148.png,I770,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio148.png,1,34,31,10,222,I770,0.5231,0.0431,bio148.png,1.773728157,2,770,33,68,2.5347,5.5476,6.0605,24,24
2017 Klein 10.1109/TVCG.2017.2744258 c 5.png,bio843.png,I917,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio843.png,1,29,16,18,204,I917,0.6444,0.0811,bio843.png,1.767955499,2,917,27,79,5.8348,6.2637,11.8778,171,171
2009 Keefe 10.1109/TVCG.2009.152 c 4.png,bio241.png,I793,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio241.png,1,40,17,27,221,I793,0.7018,0.1089,bio241.png,1.761983762,2,793,28,62,3.7092,4.9031,7.645,47,47
2009 Wan 10.1109/TVCG.2009.118 c 5.png,bio273.png,I802,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio273.png,1,31,30,10,227,I802,0.5082,0.0422,bio273.png,1.746263566,2,802,25,72,2.4547,6.5011,15.4432,56,56
2016 Schneider 10.1109/TVCG.2016.2599043  c 3.png,bio800.png,I906,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio800.png,1,34,30,11,217,I906,0.5312,0.0482,bio800.png,1.74084941,2,906,25,75,3.4697,1.9062,4.8528,160,160
2013 Zhao 10.1109/TVCG.2013.135 c 1.png,bio636.png,I875,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio636.png,1,41,23,20,215,I875,0.6406,0.0851,bio636.png,1.731624483,2,875,21,70,3.8698,6.2507,6.6008,129,129
2017 Quan 10.1109/TVCG.2017.2744078 c 1.png,bio880.png,I924,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio880.png,1,40,27,16,215,I924,0.597,0.0693,bio880.png,1.726614192,2,924,31,78,2.1464,4.1257,6.7679,178,178
2015 Marino 10.1109/TVCG.2015.2467413 c 11.png,bio750.png,I898,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio750.png,1,43,13,36,187,I898,0.7679,0.1614,bio750.png,1.720668819,2,898,25,81,3.4449,2.2731,3.3081,152,152
2011 Chen 10.1109/TVCG.2011.164 c 3.png,bio398.png,I828,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio398.png,1,43,25,20,214,I828,0.6324,0.0855,bio398.png,1.707214237,2,828,17,65,1.5053,4.9572,4.6146,82,82
2010 Saad 10.1109/TVCG.2010.152 c 2.png,bio352.png,I817,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio352.png,1,34,23,17,219,I817,0.5965,0.072,bio352.png,1.705354311,2,817,18,61,1.7721,4.0262,4.4676,71,71
2008 Soni 10.1109/TVCG.2008.183 c 10.png,bio117.png,I766,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio117.png,1,36,29,14,220,I766,0.5538,0.0598,bio117.png,1.691722709,2,766,20,72,4.3489,6.0387,10.3695,20,20
2011 Ruiz 10.1109/TVCG.2011.173 c 3.png,bio487.png,I842,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio487.png,1,41,23,21,207,I842,0.6406,0.0921,bio487.png,1.68799676,2,842,21,62,2.2876,6.2941,8.1914,96,96
2011 Giusti 10.1109/TVCG.2011.168 c 1.png,bio428.png,I833,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio428.png,1,26,43,5,215,I833,0.3768,0.0227,bio428.png,1.687033351,2,833,22,61,1.8641,7.4147,6.6581,87,87
